Stadt,PLZ
Berlin,10178
Hamburg,20038
München,80331
Köln,50667
Frankfurt am Main,60311
Stuttgart,70173
Düsseldorf,40213
Dortmund,44135
Essen,45127
Bremen,28195
Hannover,30159
Leipzig,4109
Dresden,1067
Nürnberg,90403
Duisburg,47051
Bochum,44787
Wuppertal,42275
Bielefeld,33602
Bonn,53111
Mannheim,68159
Karlsruhe,76133
Wiesbaden,65183
Münster,48143
Augsburg,86150
Gelsenkirchen,45879
Aachen,52062
Mönchengladbach,41061
Braunschweig,38100
Chemnitz,9111
Kiel,24103
Krefeld,47803
Halle-Saale,6108
Magdeburg,39104
Freiburg im Breisgau,79098
Oberhausen,46045
Lübeck,23539
Erfurt,99084
Rostock,18055
Mainz,55116
Kassel,34117
Hagen,58095
Hamm,59065
Saarbrücken,66111
Mülheim an der Ruhr,45468
Herne,44623
Osnabrück,49074
Ludwigshafen am Rhein,67059
Oldenburg,26122
Solingen,42651
Leverkusen,51373
Potsdam,14461
Neuss,41460
Heidelberg,69117
Paderborn,33098
Darmstadt,64283
Regensburg,93047
Würzburg,97070
Leer,26789
